Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021
Jordania,JOR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,901,640,293","2,224,278,094","163,970,972","1,643,173,068",
Japon,JPN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,381319638","0,5019887697","0,7799738989","1,220,508,121",
Kazajstán,KAZ,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"2,852,057,179","0,196995408","2,053,676,434","4,205,188,018",
Kenya,KEN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,640,844,097","0,8326864315","0,4681625893","0,4234824979",
Kirguistán,KGZ,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"-1,391,843,535","1,743,691,279","4,552,631,191","-5,160,327,391",
Camboya,KHM,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,257,184,973","1,307,449,807","1,352,202,109","1,400,948,204",
Kiribati,KIR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,417019323","-0,5831735059","-0,3137546892","1,450,481,509",
Saint Kitts y Nevis,KNA,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"4,528,038,883","3,713,634,541","4,108,805,431","1,412,226,822",
"Corea, República de",KOR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"1,103,077,991","0,7063008938","0,5833938606","0,5351317211",
Kuwait,KWT,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"0,09362477506","-0,01547054382","0,3785828449","-0,5266650943",
América Latina y el Caribe (excluido altos ingresos),LAC,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"3,042,816,606","3,350,077,668","2,937,184,943","2,299,617,052",
República Democrática Popular Lao,LAO,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"9,917,782,999","7,485,644,375","4,031,491,814","5,098,073,156",
Líbano,LBN,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"475,677,914","484,140,309","398,128,354","1,102,460,731",
Liberia,LBR,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,"7,309,485,784","3,772,684,939","2,611,211,949","2,860,542,745",
Libia,LBY,"Inversion extranjera directa, entrada neta de capital (% del PIB)",BX.KLT.DINV.WD.GD.ZS,0,0,"0,001443995229",,
